#{"t_start": 1618264023.322426, "env_id": null}
r,l,t
-0.904762,5,410.306352
-0.785714,10,410.898768
-0.904762,5,411.212609
-0.904762,5,411.518819
-0.833333,8,412.007485
-0.880952,6,412.382481
-0.904762,5,412.685671
1.071429,4,412.88813
-0.928571,4,413.145442
-0.857143,7,413.566348
-0.880952,6,413.919382
-0.928571,4,414.188651
-0.809524,9,414.73918
-0.761905,11,415.422352
1.166667,8,415.879276
-0.833333,8,416.370954
1.214286,10,416.930458
-0.904762,5,417.257584
-0.857143,7,417.667486
1.095238,5,417.929817
1.071429,4,418.139484
-0.880952,6,418.538417
-0.833333,8,418.999182
-0.904762,5,419.307361
-0.761905,11,419.951611
-0.857143,7,420.393429
-0.809524,9,420.941738
-0.809524,9,421.470353
-0.928571,4,421.719656
1.071429,4,421.917129
-0.880952,6,422.276169
1.071429,4,422.48364
-0.928571,4,422.722974
-0.857143,7,423.134902
-0.880952,6,423.483972
-0.857143,7,423.913816
-0.928571,4,424.16315
-0.857143,7,424.586363
-0.833333,8,425.057103
1.071429,4,425.248588
1.071429,4,425.454148
1.071429,4,425.653642
-0.809524,9,426.164278
1.071429,4,426.359726
-0.880952,6,426.737742
-0.904762,5,427.050191
-0.833333,8,427.526368
